,words,sentiment
513,blunders,[-1]
514,blussen,[-1]
515,bochtig,[-1]
516,bod,[1]
517,boef,[-1]
518,boegbeeld,[-1]
519,boeiend,[1]
520,boekweit,[-1]
521,bom,[-1]
522,bombardement,[-1]
523,bombarderen,[-1]
524,bondgenoot,[1]
525,bondig,[1]
526,bonus,[1]
527,bonussen,[1]
528,boom,[1]
529,boos,[-1]
530,boosheid,[-1]
531,boost,[1]
532,boren,[-1]
533,boring,[-1]
534,boringen,[-1]
535,borstbeeld,[-1]
536,borstel,[-1]
537,bot,[-1]
538,botsen,[-1]
539,botsing,[-1]
540,bouwvallig,[-1]
541,bovenkant,[1]
542,bovennatuurlijk,[-1]
543,box,[-1]
544,boycot,[-1]
545,boycotten,[-1]
546,braaf,[1]
547,braderie,[1]
548,brak,[-1]
549,braken,[-1]
550,branche,[-1]
551,branden,[-1]
552,brandnetel,[-1]
553,brandwonden,[-1]
554,brave,[1]
555,break,[-1]
556,breaks,[-1]
557,breekbaar,[-1]
558,breken,[-1]
559,breuk,[-1]
560,brighter,[1]
561,briljant,[1]
562,broeden,[-1]
563,broken,[-1]
564,bron,[1]
565,bronzen,[-1]
566,brood,[-1]
567,broos,[-1]
568,bros,[-1]
569,bruikbaar,[1]
570,brutaal,[-1]
571,brute,[-1]
572,bruto,[-1]
573,bruut,[-1]
574,bug,[-1]
575,buggy,[-1]
576,bugs,[-1]
577,buigzaam,[1]
578,buitenbeentje,[-1]
579,buitengewoon,[1]
580,buitensporig,[-1]
581,buitenstaander,[-1]
582,buizen,[-1]
583,bult,[-1]
584,burn,[-1]
585,buste,[-1]
586,cabine,[-1]
587,calamiteiten,[-1]
588,cancer,[-1]
589,capituleren,[-1]
590,catastrofaal,[-1]
591,catastrofale,[-1]
592,catastrofe,[-1]
593,chantage,[-1]
594,chanteren,[-1]
595,chaos,[-1]
596,chaotisch,[-1]
597,charisma,[1]
598,charismatisch,[1]
599,charismatische,[1]
600,charmant,[1]
601,charme,[1]
602,chic,[1]
603,chique,[1]
604,chronisch,[-1]
605,citroen,[-1]
606,classic,[1]
607,clean,[1]
608,clear,[1]
609,cloud,[-1]
610,coherent,[1]
611,cold,[-1]
612,comfort,[1]
613,comfortabel,[1]
614,commotie,[-1]
615,compact,[1]
616,compatible,[1]
617,competent,[1]
618,compleet,[1]
619,complement,[1]
620,complementair,[1]
621,complex,[-1]
622,complicatie,[-1]
623,compliment,[1]
624,complot,[-1]
625,conceptueel,[1]
626,concern,[-1]
627,concerns,[-1]
628,concessie,[-1]
629,concessies,[-1]
630,concurrent,[-1]
631,conflict,[-1]
632,conflicten,[-1]
633,confrontatie,[-1]
634,confronteren,[-1]
635,congestie,[-1]
636,consequent,[1]
637,conservatief,[-1]
638,consistent,[1]
639,consternatie,[-1]
640,constructief,[1]
641,consumeren,[1]
642,continuïteit,[1]
643,controleren,[1]
644,controverse,[-1]
645,controversieel,[-1]
646,cool,[1]
647,correct,[1]
648,corrigeren,[1]
649,corrosie,[-1]
650,corrosief,[-1]
651,corrupt,[-1]
652,corruptie,[-1]
653,coöperatief,[1]
654,coöperatieve,[1]
655,crack,[-1]
656,crash,[-1]
657,crashen,[-1]
658,crashes,[-1]
659,crashte,[-1]
660,crazy,[-1]
661,creatief,[1]
662,creative,[1]
663,crime,[-1]
664,crimineel,[-1]
